geo,TIME_PERIOD,Passengers_Mil_KM,km_railways,population,GDP_Capita,area,cars_per_capita,fuel_price,passengers_per_capita,passengers_per_km_rail,rail_density,pop_density,gdp_per_km_rail
Austria,2004,8274.0,5675.0,8142573.0,39620.0,83879.0,501.0,,1016.1407211209528,1457973.5682819383,0.06765698208133145,97.07522741091334,6.981497797356829
Austria,2005,8685.0,5691.0,8201359.0,40270.0,83879.0,504.0,1.033530612244898,1058.970836418696,1526093.8323668952,0.0678477330440277,97.77607029172975,7.076085046564751
Austria,2006,8907.0,5702.0,8254298.0,41370.0,83879.0,508.0,1.091795918367347,1079.0741986780706,1562083.4794808838,0.06797887433088139,98.40720561761586,7.255349000350754
Austria,2007,9167.0,5702.0,8282984.0,42790.0,83879.0,511.0,1.1212448979591838,1106.726754512625,1607681.5152578042,0.06797887433088139,98.74919824985992,7.504384426517012
Austria,2008,10365.0,5693.0,8307989.0,43270.0,83879.0,514.0,1.2156938775510204,1247.5943335986603,1820656.947128052,0.06787157691436474,99.04730623874867,7.600562093799403
Austria,2009,10184.0,5693.0,8335003.0,41620.0,83879.0,522.0,1.0448600000000001,1221.8351931007103,1788863.5165993324,0.06787157691436474,99.36936539539099,7.310732478482347
Austria,2010,10263.0,5828.0,8351643.0,42280.0,83879.0,530.0,1.1874897959183672,1228.859997966867,1760981.4687714481,0.06948103816211447,99.5677463965951,7.254632807137955
Austria,2011,10778.0,5500.0,8375164.0,43370.0,83879.0,537.0,1.3574081632653063,1286.900172939897,1959636.3636363635,0.06557064342684105,99.84816223369377,7.885454545454546
Austria,2012,11211.0,5566.0,8408121.0,43450.0,83879.0,542.0,1.4497755102040817,1333.3537897468411,2014193.316564858,0.06635749114796313,100.24107345104257,7.8063241106719365
Austria,2013,11804.0,5531.0,8451860.0,43080.0,83879.0,546.0,1.3929795918367347,1396.6156561987539,2134152.9560658108,0.06594022341706506,100.76252697337831,7.788826613632255
Austria,2014,11981.0,5531.0,8507786.0,43070.0,83879.0,547.0,1.3496938775510205,1408.2394644153014,2166154.402458868,0.06594022341706506,101.42927311961277,7.787018622310613
Austria,2015,12104.0,5522.0,8584926.0,43200.0,83879.0,546.0,1.2020816326530612,1409.913143106883,2191959.4349873234,0.06583292600054841,102.34893119851215,7.823252444766389
Austria,2016,12497.0,5491.0,8700471.0,43550.0,83879.0,550.0,1.1114199999999999,1436.3590201036243,2275906.028045893,0.0654633460103244,103.72645119755839,7.931160080131123
Austria,2017,12562.0,5527.0,8772865.0,44260.0,83879.0,555.0,1.17744,1431.915343505229,2272842.409987335,0.06589253567639099,104.58952777214797,8.007960919124299
