STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2013,,238880000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ALB,Albania,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2012,,424635696.2,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ALB,Albania,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2012,,415929458.1,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,CZE,Czechia,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2003,,225012326.2,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,CZE,Czechia,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2003,,315149711.8,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,LTU,Lithuania,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2006,,105000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,LTU,Lithuania,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2006,,130571030.6,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,LTU,Lithuania,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2007,,125716034.8,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,LTU,Lithuania,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2007,,115000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,NOR,Norway,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2017,,639354616.6,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,NOR,Norway,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2017,,645434470.3,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2000,,70686748.95,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2000,,52000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2004,,108086279,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2004,,91000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SVK,Slovak Republic,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2009,,15000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SVK,Slovak Republic,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2009,,16206754.98,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SWE,Sweden,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2004,,427232995.4,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SWE,Sweden,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2004,,316202739.7,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GBR,United Kingdom,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2015,,8011658300,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GBR,United Kingdom,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2015,,8011658300,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2000,,8807916.015,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2000,,23030425.45,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2005,,948527538.2,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2005,,1154558503,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2014,,1126292067,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2014,,1107978558,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2005,,3411000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2005,,4312208442,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2013,,6095000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2013,,6272060261,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,HUN,Hungary,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2010,,273438847.5,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,HUN,Hungary,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2010,,271989023.7,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,JPN,Japan,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2017,,12759185830,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,JPN,Japan,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2017,,12719236582,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,KOR,Korea,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2008,,5856332218,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,KOR,Korea,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2008,,4503432295,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2000,,401000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2000,,545103583.3,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2009,,378664366.6,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,PRT,Portugal,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2009,,360000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SVK,Slovak Republic,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2009,,189078808,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SVK,Slovak Republic,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2009,,175000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ESP,Spain,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2006,,6336000000,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ESP,Spain,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2006,,7557161770,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SWE,Sweden,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2004,,1093632877,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SWE,Sweden,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2004,,1477647063,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SWE,Sweden,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2015,,1630006949,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SWE,Sweden,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2015,,1630006949,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GBR,United Kingdom,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2007,,8402076097,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GBR,United Kingdom,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2007,,7729667741,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GBR,United Kingdom,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2015,,14665633609,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GBR,United Kingdom,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2015,,14665633609,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2000,,7676808.485,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2000,,2935972.005,,B,Time series break,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,CAN,Canada,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2019,,1366359292,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,CAN,Canada,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2019,,848085077.7,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,CAN,Canada,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2019,,833514183.9,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,CAN,Canada,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2019,,1342883963,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GRC,Greece,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2023,,230050260,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GRC,Greece,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2023,,316454837.2,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2024,,225000000000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,3176235254,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,2411884832,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,170854000000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,13465524703,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,FRA,France,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,10225091087,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,297174000000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,8189229701,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,DEU,Germany,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,13440000000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GRC,Greece,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,115991066.4,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,GRC,Greece,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,86228453.44,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ESP,Spain,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,4891000000,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ESP,Spain,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,3378789135,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,261949296.1,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,INV,Investment spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,428125752.8,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,2024,,15923267.62,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,SRB,Serbia,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2024,,9742671.907,,P,Provisional value,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2013,,20227270392,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2013,,19687000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2014,,20332000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2014,,20668062699,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2015,,20599000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2015,,20599000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2016,,21535000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2016,,21214658654,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2017,,20974889217,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2017,,21584000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2018,,22474000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2018,,21310651533,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2019,,21408335956,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2019,,23124000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2020,,23784000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2020,,21647007427,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,2021,,21305448409,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,BEL,Belgium,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,2021,,24745000000,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,EST,Estonia,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,Q,Constant prices,1997,,47020106.2,,,,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,EST,Estonia,A,Annual,CV,Capital value,EUR,Euro,RAIL,Rail,V,Current prices,1997,,24414249.74,,,,,,0,Units,0,Zero,,
